"There was an error with the reCAPTCHA code, please try again.","Při reCAPTCHA došlo k chybě, zkuste to prosím znovu."
"ReCAPTCHA","ReCAPTCHA"
"Enable ReCAPTCHA on Storefront","Zapnout ReCAPTCHA v obchodu"
"Enable ReCAPTCHA in Admin","Zapnout ReCAPTCHA ve správě"
"Site Key","Webový klíč"
"Secret Key","Tajný klíč"
"Forms","Formuláře"
"Type of ReCAPTCHA","Typ ReCAPTCHA"
"Size of ReCAPTCHA","Velikost ReCAPTCHA"
"Color theme of ReCAPTCHA","Motiv ReCAPTCHA"
"Create user","Registrační formulář"
"Login","Přihlašovací formulář"
"Forgot password","Formulář pro resetování hesla"
"Contact Us","Kontaktní formulář"
"Admin Login","Přihlašovací formulář"
"Admin Forgot Password","Formulář pro resetování hesla"
"Incorrect reCAPTCHA","Nesprávná reCAPTCHA"
"Ajax Login","Ajax Přihlašovací formulář"
"Compact","Kompaktní"
"Normal","Normální"
"Dark","Temný"
"Light","Světlý"
"Audio","Zvuk"
"Image","Obraz"
